,Damage,Health,Health Regen,Defense Absolute,Damage / Meter,Lifesteal,,Damage,Rend Armor,Critical Factor,Damage/Meter,Super Crit Mult,Attack Speed,Health,Health Regen,Defense Absolute,Land Mine Damage,Wall Health,Orb Size,Cash Bonus,Coin Bonus,Cells / Kill Bonus,Free Upgrades,Recovery Package,Enemy Level Skip
,57.292,154.343064527377,2.67993676996231,17.8440935210856,10.07561779,1.263933897,,8212769280,8212769280,8212769280,8212769280,8212769280,47711076610560,8212769280,8212769280,8212769280,8212769280,8212769280,1323600048640,8212769280,1323600048640,1323600048640,36917656023552,8212769280,616544938095104
,62.325,176.392881510634,3.12464492273331,19.7598662250421,10.71403408,1.344360948,,8742628096,8742628096,8742628096,8742628096,8742628096,65129870127616,8742628096,8742628096,8742628096,8742628096,8742628096,1627170402816,8742628096,1627170402816,1627170402816,50023530623488,8742628096,847924020244992
,67.512,201.578517502479,3.61119126987457,21.7875007061407,11.34226704,1.423550725,,9317237248,9317237248,9317237248,9317237248,9317237248,87019284197888,9317237248,9317237248,9317237248,9317237248,9317237248,1972361097728,9317237248,1972361097728,1972361097728,66376094315008,9317237248,1140768178041340
,72.853,229.232181813954,4.14071723127365,23.9319659004916,11.96043396,1.501516819,,9937219584,9937219584,9937219584,9937219584,9937219584,114111342309888,9937219584,9937219584,9937219584,9937219584,9937219584,2361534050816,9937219584,2361534050816,2361534050816,86481045942784,9937219584,1505635716166140
,78.348,259.471256497487,4.71431890821457,26.1981129396408,12.56865025,1.578272939,,21206329344,21206329344,21206329344,21206329344,21206329344,294398064321536,21206329344,21206329344,21206329344,21206329344,21206329344,5594039968768,21206329344,5594039968768,5594039968768,221765184513024,21206329344,3908081273267200
,83.997,292.411100290032,5.33305110740662,28.5906793794517,13.16703033,1.653832316,,33946897920,33946897920,33946897920,33946897920,33946897920,561411534214656,33946897920,33946897920,33946897920,33946897920,33946897920,9843361568256,33946897920,9843361568256,9843361568256,420490998044160,33946897920,7495416099755520
,89.8,328.165256895536,5.99793159294128,31.1143024908768,13.75568962,1.728208661,,48300638208,48300638208,48300638208,48300638208,48300638208,939372028872704,48300638208,48300638208,48300638208,48300638208,48300638208,15264445351936,48300638208,15264445351936,15264445351936,699784727349248,48300638208,12609640254130200
,95.757,366.845395475666,6.70994376039505,33.7735228847129,14.33473969,1.801415205,,64411289600,64411289600,64411289600,64411289600,64411289600,1456485487720960,64411289600,64411289600,64411289600,64411289600,64411289600,22021209438720,64411289600,22021209438720,22021209438720,1079455977945600,64411289600,19651733762193900
,101.868,408.561637950839,7.47004088878631,36.5727941776172,14.90428925,1.873464584,,82424503296,82424503296,82424503296,82424503296,82424503296,2145263487790080,82424503296,82424503296,82424503296,82424503296,82424503296,30286426647552,82424503296,30286426647552,30286426647552,1582195691203580,82424503296,29086794069027800
,108.133,453.422529245585,8.27914577007294,39.5164902416187,15.46445179,1.944370151,,102487759360,102487759360,102487759360,102487759360,102487759360,3042847966731780,102487759360,102487759360,102487759360,102487759360,102487759360,40241618066944,102487759360,40241618066944,40241618066944,2233773738008060,102487759360,41449278851882500
,114.552,501.535215816381,9.13815720510483,42.6089064123703,16.01533699,2.014144897,,124750295040,124750295040,124750295040,124750295040,124750295040,4191338328199170,124750295040,124750295040,124750295040,124750295040,124750295040,52076959731712,124750295040,52076959731712,52076959731712,3063239666536450,124750295040,57348350301671400
,121.125,553.005445651652,10.0479474487305,45.8542679469121,16.5570488,2.082800865,,149363006976,149363006976,149363006976,149363006976,149363006976,5638123731386880,149363006976,149363006976,149363006976,149363006976,149363006976,65991187726848,149363006976,65991187726848,65991187726848,4103121512268290,149363006976,77473279802442200
,127.852,607.937746799609,11.0093667831421,49.2567300236717,17.08969879,2.150351286,,176478397440,176478397440,176478397440,176478397440,176478397440,7436218803123200,176478397440,176478397440,176478397440,176478397440,176478397440,82191485465600,176478397440,82191485465600,82191485465600,5389629976704000,176478397440,102598980386125000
,134.733,666.435367858969,12.0232430877686,52.8203874084796,17.61338997,2.216808319,,206250491392,206250491392,206250491392,206250491392,206250491392,9644600222377470,206250491392,206250491392,206250491392,206250491392,206250491392,100893424969216,206250491392,100893424969216,100893424969216,6962858613106180,206250491392,133591550998439000
,141.768,728.600426752149,13.0903867235184,56.5492684133093,18.12822723,2.282184124,,238834796544,238834796544,238834796544,238834796544,238834796544,12328550753851400,238834796544,238834796544,238834796544,238834796544,238834796544,122320882980864,238834796544,122320882980864,122320882980864,8866990454691840,238834796544,171413991489755000
,148.957,794.533910725273,14.2115851716995,60.4473578530648,18.63431549,2.346491575,,274388255232,274388255232,274388255232,274388255232,274388255232,15560000697879000,274388255232,274388255232,274388255232,274388255232,274388255232,146705991158272,274388255232,146705991158272,146705991158272,11150500918282800,274388255232,217131904721046000
,156.3,873.20082933185,15.3876130876541,65.157365147801,19.13175583,2.409741879,,313069231104,313069231104,313069231104,313069231104,313069231104,19417879675092000,313069231104,313069231104,313069231104,313069231104,313069231104,174288977214464,313069231104,174288977214464,174288977214464,13866361446153200,313069231104,271919388722150000
,163.797,947.726865875615,16.6192242527008,69.4476335851533,19.62064934,2.471947908,,355037376000,355037376000,355037376000,355037376000,355037376000,23988462572613100,355037376000,355037376000,355037376000,355037376000,355037376000,205318212103680,355037376000,205318212103680,205318212103680,17072249892318700,355037376000,337064727523438000
,171.448,1026.36003504739,17.9071600055695,73.9205071704581,20.10109711,2.533120871,,480544308682,480544308682,480544308682,480544308682,480544308682,35238871262856900,480544308682,480544308682,480544308682,480544308682,480544308682,288060120026935,480544308682,288060120026935,288060120026935,24996904581262100,480544308682,496772044833386000
,179.253,1109.19851220259,19.2521444644928,78.5798027356754,20.57320023,2.593272448,,629272038026,629272038026,629272038026,629272038026,629272038026,49912380471344200,629272038026,629272038026,629272038026,629272038026,629272038026,390248508639816,629272038026,390248508639816,390248508639816,35293413220647300,629272038026,705866258963535000
,187.212,1196.33951078259,20.6548896627426,83.4292809828832,21.03705406,2.652414799,,803648379796,803648379796,803648379796,803648379796,803648379796,68730932986041400,803648379796,803648379796,803648379796,803648379796,803648379796,514699262810788,803648379796,514699262810788,514699262810788,48450826397579200,803648379796,974996458145720000
,195.325,1287.87958291281,22.1160907964706,88.4726708885743,21.4927578,2.710558891,,1006233726022,1006233726022,1006233726022,1006233726022,1006233726022,92520640454895100,1006233726022,1006233726022,1006233726022,1006233726022,1006233726022,664460022693346,1006233726022,664460022693346,664460022693346,65026599002877800,1006233726022,1316394347774460000
,203.592,1383.91395808681,23.6364335317612,93.7136477397894,21.94041252,2.767716885,,1239722414080,1239722414080,1239722414080,1239722414080,1239722414080,122221236086231000,1239722414080,1239722414080,1239722414080,1239722414080,1239722414080,842818225295360,1239722414080,842818225295360,842818225295360,85652531613388800,1239722414080,1744026474323500000
,212.013,1484.53786579816,25.2165925483704,99.1558526575542,22.38010406,2.823899031,,1506944388502,1506944388502,1506944388502,1506944388502,1506944388502,158896106221918000,1506944388502,1506944388502,1506944388502,1506944388502,1506944388502,1053308766796470,1506944388502,1053308766796470,1053308766796470,111040987994596000,1506944388502,2273752700891530000
,220.588,1589.84485219081,26.8572245903015,104.802897477739,22.81193352,2.87911725,,1810864502242,1810864502242,1810864502242,1810864502242,1810864502242,203742613119299000,1810864502242,1810864502242,1810864502242,1810864502242,1810864502242,1299721164290270,1810864502242,1299721164290270,1299721164290270,141991366609463000,1810864502242,2923491311250790000
,229.317,1699.92870388721,28.5589823646545,110.65834034676,23.23599243,2.933382511,,2154586059901,2154586059901,2154586059901,2154586059901,2154586059901,258102869564521000,2154586059901,2154586059901,2154586059901,2154586059901,2154586059901,1586107602056160,2154586059901,1586107602056160,1586107602056160,179396810719540000,2154586059901,3713394732476160000
,238.2,1814.8817646387,30.3225030784607,116.725715006741,23.65237236,2.986705303,,2541349946428,2541349946428,2541349946428,2541349946428,2541349946428,323475299383208000,2541349946428,2541349946428,2541349946428,2541349946428,2541349946428,1916790957715000,2541349946428,1916790957715000,1916790957715000,224251283973665000,2541349946428,4666030707929180000
,247.237,1934.79613771811,32.1484174661636,123.008521033787,24.06116676,3.039096832,,2974535308800,2974535308800,2974535308800,2974535308800,2974535308800,401525969023526000,2974535308800,2974535308800,2974535308800,2974535308800,2974535308800,2296370616460800,2974535308800,2296370616460800,2296370616460800,277656521804736000,2974535308800,5806569814415500000
,256.428,2059.76272400565,34.037344918251,129.51021895713,24.4624691,3.090568066,,3457662807978,3457662807978,3457662807978,3457662807978,3457662807978,494101212651498000,3457662807978,3457662807978,3457662807978,3457662807978,3457662807978,2729731673929750,3457662807978,2729731673929750,2729731673929750,340829942290632000,3457662807978,7162989364013820000
,265.773,2189.87242438155,35.9898919992447,136.234244901707,24.85636139,3.141129017,,3994393157749,3994393157749,3994393157749,3994393157749,3994393157749,603239849058089000,3994393157749,3994393157749,3994393157749,3994393157749,3994393157749,3222051475056860,3994393157749,3222051475056860,3222051475056860,415112019249194000,3994393157749,8766274406532390000
,275.272,2325.21565876901,38.0066630764007,143.184000826437,25.24293709,3.190790653,,4588528846089,4588528846089,4588528846089,4588528846089,4588528846089,731186745180185000,4588528846089,4588528846089,4588528846089,4588528846089,4588528846089,3778806362150690,4588528846089,3778806362150690,3778806362150690,501974574981593000,4588528846089,10650631182256600000
,284.925,2465.88116374158,40.0882489757538,150.362844762509,25.62228394,3.239562988,,5244015205211,5244015205211,5244015205211,5244015205211,5244015205211,880406083153688000,5244015205211,5244015205211,5244015205211,5244015205211,5244015205211,4405780830564340,5244015205211,4405780830564340,4405780830564340,603028654108687000,5244015205211,12853711220181300000
,294.732,2611.95767587281,42.2352342891693,157.774134741109,25.99448776,3.287456989,,5964940308480,5964940308480,5964940308480,5964940308480,5964940308480,1053595612882760000,5964940308480,5964940308480,5964940308480,5964940308480,5964940308480,5109071515054080,5964940308480,5109071515054080,5109071515054080,720033849786593000,5964940308480,15416844464144600000
,304.693,2763.53417221477,44.4481904249191,165.421179984832,26.35963821,3.334482431,,6755538577716,6755538577716,6755538577716,6755538577716,6755538577716,1253700997582680000,6755538577716,6755538577716,6755538577716,6755538577716,6755538577716,5895099037848720,6755538577716,5895099037848720,5895099037848720,854906041295250000,6755538577716,18385271613726300000
,314.808,2920.69818694843,46.7276928281784,173.307260431116,26.7178154,3.380649328,,7620188151493,7620188151493,7620188151493,7620188151493,7620188151493,1483931150897040000,7620188151493,7620188151493,7620188151493,7620188151493,7620188151493,6770611289398490,7620188151493,6770611289398490,6770611289398490,1009727388624270000,7620188151493,21808400457444600000
,325.077,3083.53629234066,49.0742953290939,181.435646255682,27.06910324,3.425967455,,8563413308830,8563413308830,8563413308830,8563413308830,8563413308830,1747772947661520000,8563413308830,8563413308830,8563413308830,8563413308830,8563413308830,7742691097914540,8563413308830,7742691097914540,7742691097914540,1186755101782760000,8563413308830,25740058502877800000
,335.5,3301.66088867188,51.4885517578125,191.670444970907,27.41358948,3.47044754,,9589884393202,9589884393202,9589884393202,9589884393202,9589884393202,2049008452925830000,9589884393202,9589884393202,9589884393202,9589884393202,9589884393202,8818765051917430,9589884393202,8818765051917430,8818765051917430,1388431038810980000,9589884393202,30238739853422700000
,346.077,3478.76416015625,53.971015586853,200.377651320844,27.75135612,3.514098883,,10704420339200,10704420339200,10704420339200,10704420339200,10704420339200,2391729703134200000,10704420339200,10704420339200,10704420339200,10704420339200,10704420339200,10006608441536000,10704420339200,10006608441536000,10006608441536000,1617391794168820000,10704420339200,35367911948775600000
,356.808,3661.89135742188,56.5222186737061,209.339267864887,28.08248329,3.556931019,,13698786379950,13698786379950,13698786379950,13698786379950,13698786379950,3197410738816760000,13698786379950,13698786379950,13698786379950,13698786379950,13698786379950,13011509354242200,13698786379950,13011509354242200,13011509354242200,2157950883274660000,13698786379950,47375718324548900000
,367.693,3851.1279296875,59.1426971511841,218.558478550212,28.40705109,3.598953962,,17183014344707,17183014344707,17183014344707,17183014344707,17183014344707,4185552826612770000,17183014344707,17183014344707,17183014344707,17183014344707,17183014344707,16575651464069100,17183014344707,16575651464069100,16575651464069100,2819373649471860000,17183014344707,62137472158197400000
,378.732,4046.56103515625,61.8329739685059,228.038457466575,28.72514153,3.640177011,,21208908923981,21208908923981,21208908923981,21208908923981,21208908923981,5386394997730960000,21208908923981,21208908923981,21208908923981,21208908923981,21208908923981,20769678061492500,21208908923981,20769678061492500,20769678061492500,3621352627763480000,21208908923981,80117298525985300000
,389.925,4248.275390625,64.59357670784,237.782358988888,29.0368309,3.680609226,,25831666204214,25831666204214,25831666204214,25831666204214,25831666204214,6833863847107610000,25831666204214,25831666204214,25831666204214,25831666204214,25831666204214,25670146274122100,25831666204214,25670146274122100,25670146274122100,4585927133291810000,25831666204214,101837133202944000000
,401.272,4456.3564453125,67.4250146579742,247.793298062377,29.34219933,3.72026062,,31110003886080,31110003886080,31110003886080,31110003886080,31110003886080,8565889513707080000,31110003886080,31110003886080,31110003886080,31110003886080,31110003886080,31359837086484500,31110003886080,31359837086484500,31359837086484500,5737681316254650000,31110003886080,127881958584490000000
,412.773,4670.888671875,70.327793428421,258.074389632269,29.6413269,3.759140015,,37106270710255,37106270710255,37106270710255,37106270710255,37106270710255,10624750984712900000,37106270710255,37106270710255,37106270710255,37106270710255,37106270710255,37928064647612000,37106270710255,37928064647612000,37928064647612000,7103954833745780000,37106270710255,158905196852402000000
,424.428,4891.95654296875,73.3024227848053,268.628709214102,29.93428421,3.797256947,,43886545138439,43886545138439,43886545138439,43886545138439,43886545138439,13057422131848100000,43886545138439,43886545138439,43886545138439,43886545138439,43886545138439,45470949626241300,43886545138439,45470949626241300,45470949626241300,8715055402849840000,43886545138439,195634487903066000000
,436.237,5119.6435546875,76.3493993091583,279.459332323417,30.22114944,3.834619522,,51520777817296,51520777817296,51520777817296,51520777817296,51520777817296,15915947634336300000,51520777817296,51520777817296,51520777817296,51520777817296,51520777817296,54091765481083200,51520777817296,54091765481083200,54091765481083200,10604492366475800000,51520777817296,238877812511326000000
,448.2,5354.033203125,79.4692107944489,290.569275331223,30.50200081,3.871237755,,60082895547813,60082895547813,60082895547813,60082895547813,60082895547813,19257847553482100000,60082895547813,60082895547813,60082895547813,60082895547813,60082895547813,63901248269954800,60082895547813,63901248269954800,63901248269954800,12809219542578700000,60082895547813,289529924700423000000
,460.317,5595.208984375,82.662358455658,301.961613753061,30.77691078,3.907119513,,69650919878400,69650919878400,69650919878400,69650919878400,69650919878400,23146515857819700000,69650919878400,69650919878400,69650919878400,69650919878400,69650919878400,75017944451116800,69650919878400,75017944451116800,75017944451116800,15369887762027800000,69650919878400,
,472.588,5843.25341796875,85.9292988471985,313.639304815409,31.04595566,3.942274809,,80307071570633,80307071570633,80307071570633,80307071570633,80307071570633,27651669495570700000,80307071570633,80307071570633,80307071570633,80307071570633,80307071570633,87568483188736000,80307071570633,87568483188736000,87568483188736000,18331100870952100000,80307071570633,
,485.013,6098.248046875,89.2705331840515,325.605345174435,31.3092041,3.976711273,,92137900158616,92137900158616,92137900158616,92137900158616,92137900158616,32849786404262200000,92137900158616,92137900158616,92137900158616,92137900158616,92137900158616,101687972837124000,92137900158616,101687972837124000,101687972837124000,21741701448084100000,92137900158616,
,497.592,6360.27490234375,92.6865272865295,337.862731486307,31.56672668,4.010437965,,105234395831552,105234395831552,105234395831552,105234395831552,105234395831552,38824596880714500000,105234395831552,105234395831552,105234395831552,105234395831552,105234395831552,117520289083432000,105234395831552,117520289083432000,117520289083432000,25655061108589600000,105234395831552,
,510.325,6629.41650390625,96.1777381858826,350.414381547817,31.81859779,4.043462753,,119692170934757,119692170934757,119692170934757,119692170934757,119692170934757,45667582334917500000,119692170934757,119692170934757,119692170934757,119692170934757,119692170934757,135218515144558000,119692170934757,135218515144558000,135218515144558000,30129383901518500000,119692170934757,
,523.212,6905.75244140625,99.7446492805481,363.263272300289,32.064888,4.07579565,,135611426662400,135611426662400,135611426662400,135611426662400,135611426662400,53478501875851500000,135611426662400,135611426662400,135611426662400,135611426662400,135611426662400,154945187828787000,135611426662400,154945187828787000,154945187828787000,35228007940366600000,135611426662400,
,536.253,7189.36474609375,103.387700023651,376.412262395988,32.30567169,4.107442856,,153097262844687,153097262844687,153097262844687,153097262844687,153097262844687,62365918623638100000,153097262844687,153097262844687,153097262844687,153097262844687,153097262844687,176872785820962000,153097262844687,176872785820962000,176872785820962000,41019759562145200000,153097262844687,
,549.448,7480.3330078125,107.107356473923,389.864309061394,32.54100418,4.138414383,,172259627860316,172259627860316,172259627860316,172259627860316,172259627860316,72447756148962600000,172259627860316,172259627860316,172259627860316,172259627860316,172259627860316,201183883215641000,172259627860316,201183883215641000,201183883215641000,47579253374073500000,172259627860316,
,562.797,7778.7373046875,110.904066396713,403.622251233928,32.77096558,4.168717384,,193213572858023,193213572858023,193213572858023,193213572858023,193213572858023,83851966238268000000,193213572858023,193213572858023,193213572858023,193213572858023,193213572858023,228071809104676000,193213572858023,228071809104676000,228071809104676000,54987321380839500000,193213572858023,
,576.3,8084.658203125,114.778278272629,421.744236030513,33,4.198360443,,216079298672646,216079298672646,216079298672646,216079298672646,216079298672646,96717071210032900000,216079298672646,216079298672646,216079298672646,216079298672646,216079298672646,257740787423644000,216079298672646,257740787423644000,257740787423644000,63331301405697000000,216079298672646,
,589.957,8398.1748046875,118.730431554794,436.262199997997,33.20000076,4.227351189,,240982293657600,240982293657600,240982293657600,240982293657600,240982293657600,111192813449035000000,240982293657600,240982293657600,240982293657600,240982293657600,240982293657600,290406426398669000,240982293657600,290406426398669000,290406426398669000,72705471837242100000,240982293657600,
,603.768,8719.3662109375,122.760965696335,451.097708453834,33.40000153,4.255698204,,268053428201631,268053428201631,268053428201631,268053428201631,268053428201631,127440879907666000000,268053428201631,268053428201631,268053428201631,268053428201631,268053428201631,326296162593797000,268053428201631,326296162593797000,326296162593797000,83211452165931000000,268053428201631,
,617.733,9048.310546875,126.870320150375,466.253548272921,33.59999847,4.283408165,,297429233614952,297429233614952,297429233614952,297429233614952,297429233614952,145635557551880000000,297429233614952,297429233614952,297429233614952,297429233614952,297429233614952,365649575725109000,297429233614952,365649575725109000,365649575725109000,94958610827623600000,297429233614952,
,631.852,9385.0859375,131.058908241272,481.73266558015,33.79999924,4.310489655,,329251678204452,329251678204452,329251678204452,329251678204452,329251678204452,165964415143436000000,329251678204452,329251678204452,329251678204452,329251678204452,329251678204452,408718602060749000,329251678204452,408718602060749000,408718602060749000,108064454660963000000,329251678204452,
,646.125,9827.07009275653,135.327186523437,497.537767625423,34,4.336950302,,363668754482704,363668754482704,363668754482704,363668754482704,363668754482704,188629188502541000000,363668754482704,363668754482704,363668754482704,363668754482704,363668754482704,455768420648462000,363668754482704,455768420648462000,455768420648462000,122655182596346000000,363668754482704,
,660.552,10183.2706557994,139.675550743103,513.671760721131,34.20000076,4.362798214,,400834151654400,400834151654400,400834151654400,400834151654400,400834151654400,,400834151654400,400834151654400,400834151654400,400834151654400,400834151654400,507077432976614000,400834151654400,507077432976614000,507077432976614000,138866005824828000000,400834151654400,
,675.133,10547.6182890779,144.104440353394,530.137352117177,34.40000153,4.388040066,,440907794766872,440907794766872,440907794766872,440907794766872,440907794766872,,440907794766872,440907794766872,440907794766872,440907794766872,440907794766872,562937911406994000,440907794766872,562937911406994000,562937911406994000,156841759672093000000,440907794766872,
,689.868,10920.1899261849,148.614268440247,546.937368500956,34.59999847,4.41268301,,484055582063525,484055582063525,484055582063525,484055582063525,484055582063525,,484055582063525,484055582063525,484055582063525,484055582063525,484055582063525,623656364260335000,484055582063525,623656364260335000,623656364260335000,176737337022825000000,484055582063525,
,704.757,11301.0625007136,153.205439300537,564.074556934868,34.79999924,4.43673563,,530449784072439,530449784072439,530449784072439,530449784072439,530449784072439,,530449784072439,530449784072439,530449784072439,530449784072439,530449784072439,689553800594990000,530449784072439,689553800594990000,689553800594990000,198718152708430000000,530449784072439,
,719.8,11690.3159052413,157.878374809265,581.55170429381,35,4.460204124,,580269058494946,580269058494946,580269058494946,580269058494946,580269058494946,,580269058494946,580269058494946,580269058494946,580269058494946,580269058494946,760966496579664000,580269058494946,760966496579664000,760966496579664000,222960793637436000000,580269058494946,
,734.997,12088.0260870329,162.633488290787,599.371478015184,35.20000076,,,633698622951680,633698622951680,633698622951680,633698622951680,633698622951680,,633698622951680,633698622951680,633698622951680,633698622951680,633698622951680,838246088238691000,633698622951680,838246088238691000,838246088238691000,249653440890904000000,633698622951680,
,750.348,12494.2680070251,167.47114840889,617.536704786388,35.40000153,,,690930337598006,690930337598006,690930337598006,690930337598006,690930337598006,,690930337598006,690930337598006,690930337598006,690930337598006,690930337598006,921760411569099000,690930337598006,921760411569099000,921760411569099000,278996562308362000000,690930337598006,
,765.853,12909.1225441236,172.391794855118,636.050012232324,35.59999847,,,752162879795646,752162879795646,752162879795646,752162879795646,752162879795646,,752162879795646,752162879795646,752162879795646,752162879795646,752162879795646,1011893623021090000,752162879795646,1011893623021090000,1011893623021090000,311203437611991000000,752162879795646,
,781.512,13332.6607139525,177.395814348221,654.914107602893,35.79999924,,,817601876497471,817601876497471,817601876497471,817601876497471,817601876497471,,817601876497471,817601876497471,817601876497471,817601876497471,817601876497471,1109046684888250000,817601876497471,1109046684888250000,1109046684888250000,346500531344981000000,817601876497471,
,797.325,13764.9643817456,182.483593606949,674.131737960494,36,,,887459741594002,887459741594002,887459741594002,887459741594002,887459741594002,,887459741594002,887459741594002,887459741594002,887459741594002,887459741594002,1213637778026420000,887459741594002,1213637778026420000,1213637778026420000,385128704806832000000,887459741594002,
,813.292,14206.1065357833,187.655536928177,693.705530930032,36.20000076,,,961956304512000,961956304512000,961956304512000,961956304512000,961956304512000,,961956304512000,961956304512000,961956304512000,961956304512000,961956304512000,1326103295637120000,961956304512000,1326103295637120000,1326103295637120000,427343117513865000000,961956304512000,
,829.413,14656.1621370025,192.912031269073,713.638193761406,36.40000153,,,1041318676994830,1041318676994830,1041318676994830,1041318676994830,1041318676994830,,1041318676994830,1041318676994830,1041318676994830,1041318676994830,1041318676994830,1446897664238930000,1041318676994830,1446897664238930000,1446897664238930000,473414657012150000000,1041318676994830,
,845.688,15115.2081189961,198.253445293427,733.932314267022,36.59999847,,,1125781641506940,1125781641506940,1125781641506940,1125781641506940,1125781641506940,,1125781641506940,1125781641506940,1125781641506940,1125781641506940,1125781641506940,1576494368323110000,1125781641506940,1576494368323110000,1576494368323110000,523629731568305000000,1125781641506940,
,862.117,15583.3194427011,203.68018353653,754.590599696781,36.79999924,,,1215586713419680,1215586713419680,1215586713419680,1215586713419680,1215586713419680,,1215586713419680,1215586713419680,1215586713419680,1215586713419680,1215586713419680,1715385546820440000,1215586713419680,1715385546820440000,1715385546820440000,578291869578614000000,1215586713419680,
,878.7,16060.5690963978,209.192615139008,783.073513891357,37,,,1310984119767390,1310984119767390,1310984119767390,1310984119767390,1310984119767390,,1310984119767390,1310984119767390,1310984119767390,1310984119767390,1310984119767390,1864083753902580000,1310984119767390,1864083753902580000,1864083753902580000,637721668589649000000,1310984119767390,
,895.437,16547.0340136795,214.791126819611,804.673687988552,37.20000076,,,1412231152550400,1412231152550400,1412231152550400,1412231152550400,1412231152550400,,1412231152550400,1412231152550400,1412231152550400,1412231152550400,1412231152550400,2023121143711450000,1412231152550400,2023121143711450000,2023121143711450000,702258201624090000000,1412231152550400,
,912.328,17042.7871828265,220.476087718964,826.649366678069,37.40000153,,,1519593538842810,1519593538842810,1519593538842810,1519593538842810,1519593538842810,,1519593538842810,1519593538842810,1519593538842810,1519593538842810,1519593538842810,2193051242568590000,1519593538842810,2193051242568590000,2193051242568590000,772259249229832000000,1519593538842810,
